,Unnamed: 0,year,dur_stay,mode,purpose
377,377,2017,4-7  nights,Tunnel,Business
378,378,2017,8-14 nights,Air,Holiday
379,379,2017,8-14 nights,Air,Business
380,380,2017,8-14 nights,Air,VFR
381,381,2017,8-14 nights,Air,Study
382,382,2017,8-14 nights,Air,Miscellaneous
383,383,2017,8-14 nights,Sea,Business
384,384,2017,15+  nights,Air,Holiday
385,385,2017,15+  nights,Air,Business
386,386,2017,15+  nights,Air,VFR
387,387,2017,15+  nights,Air,Study
388,388,2017,15+  nights,Air,Miscellaneous
389,389,2017,15+  nights,Sea,Study
390,390,2017,1-3  nights,Air,Holiday
391,391,2017,1-3  nights,Air,Business
392,392,2017,1-3  nights,Air,Miscellaneous
393,393,2017,1-3  nights,Sea,Business
394,394,2017,1-3  nights,Tunnel,Holiday
395,395,2017,4-7  nights,Air,Holiday
396,396,2017,4-7  nights,Air,Business
397,397,2017,4-7  nights,Air,VFR
398,398,2017,4-7  nights,Air,Miscellaneous
399,399,2017,4-7  nights,Sea,Holiday
400,400,2017,4-7  nights,Tunnel,Holiday
401,401,2017,4-7  nights,Tunnel,Business
402,402,2017,8-14 nights,Air,Holiday
403,403,2017,8-14 nights,Air,VFR
404,404,2017,15+  nights,Air,VFR
405,405,2017,1-3  nights,Air,Holiday
406,406,2017,1-3  nights,Air,VFR
407,407,2017,1-3  nights,Air,Miscellaneous
408,408,2017,1-3  nights,Tunnel,Holiday
409,409,2017,4-7  nights,Air,Holiday
410,410,2017,8-14 nights,Air,Holiday
411,411,2017,8-14 nights,Air,VFR
412,412,2017,1-3  nights,Air,Holiday
413,413,2017,1-3  nights,Air,Business
414,414,2017,1-3  nights,Air,VFR
415,415,2017,1-3  nights,Air,Miscellaneous
416,416,2017,1-3  nights,Sea,Holiday
417,417,2017,1-3  nights,Tunnel,Holiday
418,418,2017,4-7  nights,Air,Holiday
419,419,2017,4-7  nights,Air,Business
420,420,2017,4-7  nights,Air,VFR
421,421,2017,4-7  nights,Tunnel,Holiday
422,422,2017,8-14 nights,Air,Holiday
423,423,2017,8-14 nights,Air,VFR
424,424,2017,8-14 nights,Air,Study
425,425,2017,8-14 nights,Air,Miscellaneous
426,426,2017,8-14 nights,Sea,Miscellaneous
427,427,2017,15+  nights,Air,Holiday
428,428,2017,15+  nights,Air,Business
429,429,2017,15+  nights,Air,VFR
430,430,2017,1-3  nights,Air,Holiday
431,431,2017,1-3  nights,Air,VFR
432,432,2017,1-3  nights,Air,Miscellaneous
433,433,2017,1-3  nights,Sea,Holiday
434,434,2017,1-3  nights,Tunnel,Holiday
435,435,2017,1-3  nights,Tunnel,Business
436,436,2017,4-7  nights,Air,Holiday
437,437,2017,4-7  nights,Air,Business
438,438,2017,4-7  nights,Sea,Holiday
439,439,2017,4-7  nights,Tunnel,Holiday
440,440,2017,8-14 nights,Air,Holiday
441,441,2017,8-14 nights,Air,Business
442,442,2017,8-14 nights,Air,VFR
443,443,2017,8-14 nights,Sea,Holiday
444,444,2017,15+  nights,Air,Study
445,445,2017,1-3  nights,Air,Holiday
446,446,2017,1-3  nights,Air,Miscellaneous
447,447,2017,1-3  nights,Sea,Holiday
448,448,2017,4-7  nights,Air,Holiday
449,449,2017,8-14 nights,Sea,Holiday
450,450,2017,15+  nights,Air,VFR
451,451,2017,1-3  nights,Air,Holiday
452,452,2017,1-3  nights,Air,Business
453,453,2017,1-3  nights,Air,VFR
454,454,2017,1-3  nights,Air,Miscellaneous
455,455,2017,4-7  nights,Air,Holiday
456,456,2017,4-7  nights,Air,Business
457,457,2017,4-7  nights,Air,VFR
458,458,2017,4-7  nights,Sea,Business
459,459,2017,4-7  nights,Sea,VFR
460,460,2017,8-14 nights,Air,Holiday
461,461,2017,8-14 nights,Air,VFR
462,462,2017,15+  nights,Air,VFR
463,463,2017,15+  nights,Air,Study
464,464,2017,1-3  nights,Air,Holiday
465,465,2017,1-3  nights,Air,Business
466,466,2017,1-3  nights,Air,VFR
467,467,2017,1-3  nights,Air,Miscellaneous
468,468,2017,4-7  nights,Air,Holiday
469,469,2017,4-7  nights,Air,Business
470,470,2017,4-7  nights,Air,VFR
471,471,2017,4-7  nights,Tunnel,Holiday
472,472,2017,8-14 nights,Air,Holiday
473,473,2017,8-14 nights,Air,Business
474,474,2017,8-14 nights,Air,VFR
475,475,2017,8-14 nights,Air,Miscellaneous
476,476,2017,8-14 nights,Tunnel,Holiday
477,477,2017,15+  nights,Air,Holiday
478,478,2017,15+  nights,Air,VFR
479,479,2017,15+  nights,Air,Study
480,480,2017,1-3  nights,Air,Holiday
481,481,2017,1-3  nights,Air,VFR
482,482,2017,1-3  nights,Sea,Holiday
483,483,2017,1-3  nights,Tunnel,Holiday
484,484,2017,4-7  nights,Air,Holiday
485,485,2017,4-7  nights,Air,VFR
486,486,2017,4-7  nights,Tunnel,Miscellaneous
487,487,2017,8-14 nights,Air,Holiday
488,488,2017,8-14 nights,Air,Business
489,489,2017,8-14 nights,Air,VFR
490,490,2017,15+  nights,Air,VFR
491,491,2017,1-3  nights,Air,Holiday
492,492,2017,1-3  nights,Air,Business
493,493,2017,4-7  nights,Air,Business
494,494,2017,8-14 nights,Air,Holiday
495,495,2017,8-14 nights,Air,Business
496,496,2017,8-14 nights,Air,VFR
497,497,2017,15+  nights,Air,VFR
498,498,2017,15+  nights,Air,Miscellaneous
499,499,2017,1-3  nights,Air,Holiday
500,500,2017,1-3  nights,Air,Business
501,501,2017,1-3  nights,Air,VFR
502,502,2017,1-3  nights,Air,Miscellaneous
503,503,2017,4-7  nights,Air,Holiday
504,504,2017,4-7  nights,Air,Business
505,505,2017,4-7  nights,Air,VFR
506,506,2017,4-7  nights,Tunnel,Holiday
507,507,2017,8-14 nights,Air,Holiday
508,508,2017,8-14 nights,Air,VFR
509,509,2017,15+  nights,Air,VFR
510,510,2017,1-3  nights,Air,Holiday
511,511,2017,1-3  nights,Air,Business
512,512,2017,4-7  nights,Air,Holiday
513,513,2017,8-14 nights,Air,Holiday
514,514,2017,15+  nights,Air,Holiday
515,515,2017,15+  nights,Air,Business
516,516,2017,1-3  nights,Air,Holiday
517,517,2017,1-3  nights,Air,Business
518,518,2017,1-3  nights,Air,VFR
519,519,2017,1-3  nights,Air,Miscellaneous
520,520,2017,4-7  nights,Air,Holiday
521,521,2017,4-7  nights,Air,Business
522,522,2017,4-7  nights,Air,VFR
523,523,2017,4-7  nights,Tunnel,Holiday
524,524,2017,8-14 nights,Air,Holiday
525,525,2017,8-14 nights,Air,Business
526,526,2017,8-14 nights,Air,VFR
527,527,2017,15+  nights,Air,Holiday
528,528,2017,15+  nights,Air,VFR
