,year,Trip_Length_Days,Travel_Type,Reason_for_travel
632,2017,4-7  nights,Air,VFR
633,2017,4-7  nights,Air,Miscellaneous
634,2017,8-14 nights,Air,Holiday
635,2017,8-14 nights,Air,Business
636,2017,8-14 nights,Air,VFR
637,2017,8-14 nights,Air,Miscellaneous
638,2017,15+  nights,Air,Holiday
639,2017,15+  nights,Air,VFR
640,2017,1-3  nights,Air,Business
641,2017,4-7  nights,Air,Holiday
642,2017,4-7  nights,Air,Business
643,2017,8-14 nights,Air,Holiday
644,2017,15+  nights,Air,Holiday
645,2017,1-3  nights,Air,Holiday
646,2017,1-3  nights,Air,VFR
647,2017,1-3  nights,Air,Miscellaneous
648,2017,4-7  nights,Air,Holiday
649,2017,4-7  nights,Air,Business
650,2017,4-7  nights,Air,VFR
651,2017,8-14 nights,Air,Holiday
652,2017,8-14 nights,Air,VFR
653,2017,15+  nights,Air,Holiday
654,2017,15+  nights,Air,VFR
655,2017,1-3  nights,Air,Business
656,2017,8-14 nights,Air,VFR
657,2017,15+  nights,Air,VFR
658,2017,1-3  nights,Air,Holiday
659,2017,1-3  nights,Air,Business
660,2017,4-7  nights,Air,Holiday
661,2017,4-7  nights,Air,VFR
662,2017,8-14 nights,Air,Holiday
663,2017,8-14 nights,Air,VFR
664,2017,15+  nights,Air,VFR
665,2017,1-3  nights,Air,Holiday
666,2017,1-3  nights,Air,Business
667,2017,4-7  nights,Air,Holiday
668,2017,4-7  nights,Air,Business
669,2017,4-7  nights,Air,VFR
670,2017,8-14 nights,Air,Holiday
671,2017,8-14 nights,Air,Business
672,2017,8-14 nights,Air,VFR
673,2017,15+  nights,Air,VFR
674,2017,1-3  nights,Air,Holiday
675,2017,1-3  nights,Air,Business
676,2017,4-7  nights,Air,Holiday
677,2017,4-7  nights,Air,VFR
678,2017,4-7  nights,Air,Miscellaneous
679,2017,8-14 nights,Air,Holiday
680,2017,15+  nights,Air,VFR
681,2017,1-3  nights,Air,Holiday
682,2017,1-3  nights,Air,Business
683,2017,1-3  nights,Air,VFR
684,2017,1-3  nights,Air,Miscellaneous
685,2017,1-3  nights,Tunnel,Holiday
686,2017,1-3  nights,Tunnel,VFR
687,2017,4-7  nights,Air,Holiday
688,2017,4-7  nights,Air,Business
689,2017,4-7  nights,Air,VFR
690,2017,8-14 nights,Air,Holiday
691,2017,8-14 nights,Air,VFR
692,2017,15+  nights,Air,VFR
693,2017,1-3  nights,Air,Holiday
694,2017,1-3  nights,Air,Business
695,2017,1-3  nights,Air,VFR
696,2017,1-3  nights,Air,Miscellaneous
697,2017,4-7  nights,Air,Holiday
698,2017,4-7  nights,Air,Business
